rank,username,score,wallet_address,created_at
"1","sukoed","340200","0xcc6a99b3cea642acc1907c9beb30195c3e85cc52",""
"2","boombo","325125","0x0fc4acb5ceb9f2c681bf4da557fc4040ea66aef1",""
"3","moonrelium","299262","0x0fbec24786881a66b345f8c30ae9420de84d6315",""
"4","frosthaven","295461","0x28a1f4819a7e517d48f0c1b3fea79f5c89702f9d",""
"5","ashenmoor","293587","",""
"6","sofa4813","286400","0x18c2db663ba37e059bea631d4bc6e9c0c3adb8fa",""
"7","klopi","283312","",""
"8","gamblorik","281937","0xa0fc072f5f7855b7ca418c03863d955649892610",""
"9","velorian","279500","",""
"10","peenjee","274462","0x48fc6aaf8f2df1aac292f7a699acfcb3be699164",""
"11","laserguy","274112","0x6ab1ac5c79193579ad7365b1f852c12ef45bd921",""
"12","valyakokas","270874","",""
"13","pinstripedgator","270200","0x77039399801f462b4ed13444a266b16355c471bf",""
"14","papich","266800","",""
"15","kukuxaedet","260937","",""
"16","peternovakxx","257125","0x40e620e996e5f87690c72767975e321647aa6f73",""
"17","hellmyname","255500","",""
"18","highway2hell","252187","",""
"19","catriona","251650","0x4bb2d016b90565612d81a7a4b1b80f49e652cf23",""
"20","veronicamonacry","247387","0x5f00955b3c03f2bcdb3ea0a8ee678d55abede9aa",""
"21","buffet","246675","0x9c81235b2fda4687e0159b19f56e835712ab0a8a",""
"22","sakura","244662","",""
"23","verm1k","244187","0xbf4fa8c6a80c2afc8996475599db8fc23a0e961a",""
"24","vibetoshi","242525","0xf42bea3d14951a476a7c58ca38524c408142c269",""
"25","badogos.nft","237000","0x9ad1089943b6fe90d930426f1d8db095321aa666",""
"26","orinthal","235875","",""
"27","veroscryptos","235699","0xd0fd6dbadb056e2c17f8e36c503f7ab006fab0bb",""
"28","karasik","233362","0x34c734bf1c4efc47815fb9e11d8a63a3d6067a3a",""
"29","dofa","232762","0xfed437c5b9642f69890dd4659d2e834251492d95",""
"30","innappva","231699","0x399fcb7ec85ae1649cfa33bd2593ce29c255524f",""
"31","rivenhart","231200","",""
"32","jjjj","231175","0xbec0d5ea672ef172aaff3ccfdfbebed1d22cc8a8",""
"33","cazsreyem","230450","0xff1697cd18f03242ea521a80334a9060f0c25c7a",""
