rank,username,opensea_pins_collected,wallet_address,created_at
"1","humanizer","65","0x07da53275190346f7e9b04254e412bba9c6d6b09",""
"2","bunya","60","0x26dd4199269bec9457f84adb029db917a910c711",""
"3","btdwayne","51","0xd341108b067cd308cf8cc7e13fb9982b0cba2f4e",""
"4","wyllt","48","0x94c47ed35fd041953352cd483b66ad1dba05e31f",""
"5","laserguy","44","0x6ab1ac5c79193579ad7365b1f852c12ef45bd921",""
"6","adacrow","44","0x91cb1ff4322559a5c5c67dba075ab081c255ba1f",""
"7","themullet.eth","41","0x6c3d6d6038b40854b811b4dc8310c04aa68310c9",""
"8","hashi","38","0x0e34256ce6d85d04ff192e4bf9c40994ad901e30",""
"9","dankochen","36","0x20134c1447fda725e61891d22428e826f946502f",""
"10","peenjee","35","0x48fc6aaf8f2df1aac292f7a699acfcb3be699164",""
"11","permaban","33","0x0db1a9333791099e4c9e4655ccc8e845afd1aec1",""
"12","slayer","32","0xaf14e2c4470b52431850633d06e840e5d7c2e8a6",""
"13","nicolemerraf","31","0x401e16f10843531628ccac1a08a0f47097e41cf4",""
"14","vibetoshi","30","0xf42bea3d14951a476a7c58ca38524c408142c269",""
"15","pinstripedgator","29","0x77039399801f462b4ed13444a266b16355c471bf",""
"16","booching","29","0x30e08ee6df646972f5fb1ece073a7aeb7b5091e7",""
"17","yelena","28","0x82979f5db04a6a9daacfbf1dd513f792b7872095",""
"18","innappva","28","0x399fcb7ec85ae1649cfa33bd2593ce29c255524f",""
"19","badogos.nft","28","0x9ad1089943b6fe90d930426f1d8db095321aa666",""
"20","yoroi45","27","0x52ce073dca2577f0d96900bebd081fc022e2eeae",""
"21","andreevnadasha","27","",""
"22","adoslav","27","0x90d9e2d3f846924102f7233b304338f47fa2b7dd",""
"23","sakura","26","",""
"24","heylen","26","",""
"25","chrissi905","26","",""
"26","aleksshpulin","26","",""
"27","wowg13698","25","0x0ed8ca2a16c27243c2a4f1180a921922e4b7f326",""
"28","mrmossel","25","0x47b27f983b32d179997505d31c3320bbd244256c",""
"29","medvedev","25","0xf7c01b355e3e20806280d269851ba92c311fc25e",""
"30","drfrankenvibes","25","0x3c0e5916b2f228eb237667f2ad895e0aaa7635a3",""
"31","vdovinda","24","0x8c57d1fab10d4b78f49ef5c6abaeb76a63710f61",""
"32","ruslana","24","0x392d605197126219d5ad8dfce75af05c7d5be422",""
"33","onward","24","0xb758e98c2c99883353d2ab34c4d7c550e4871aa9",""
"34","matthieumdb","24","0x5c0beb90cba6d32118104e356fd7176089517003",""
"35","fugem","24","0x7d7370f3b18adec3ba99482a1ba02657725ac1db",""
