rank,username,unique_pins,total_capsules_earned,wallet_address,created_at
"1","bunya","101","2114","0x26dd4199269bec9457f84adb029db917a910c711",""
"2","wyllt","101","1902","0x94c47ed35fd041953352cd483b66ad1dba05e31f",""
"3","humanizer","101","1635","0x07da53275190346f7e9b04254e412bba9c6d6b09",""
"4","btdwayne","101","1537","0xd341108b067cd308cf8cc7e13fb9982b0cba2f4e",""
"5","laserguy","101","1354","0x6ab1ac5c79193579ad7365b1f852c12ef45bd921",""
"6","adacrow","101","1203","0x91cb1ff4322559a5c5c67dba075ab081c255ba1f",""
"7","permaban","101","1168","0x0db1a9333791099e4c9e4655ccc8e845afd1aec1",""
"8","themullet.eth","101","1156","0x6c3d6d6038b40854b811b4dc8310c04aa68310c9",""
"9","matthieumdb","101","1111","0x5c0beb90cba6d32118104e356fd7176089517003",""
"10","peenjee","101","1061","0x48fc6aaf8f2df1aac292f7a699acfcb3be699164",""
"11","onward","101","937","0xb758e98c2c99883353d2ab34c4d7c550e4871aa9",""
"12","aynomi","101","851","0xa30d8814f1e45f59343886d4c10428f3d523217d",""
"13","booching","101","835","0x30e08ee6df646972f5fb1ece073a7aeb7b5091e7",""
"14","catriona","101","830","0x4bb2d016b90565612d81a7a4b1b80f49e652cf23",""
"15","wowg13698","101","784","0x0ed8ca2a16c27243c2a4f1180a921922e4b7f326",""
"16","alucardas","101","766","0x2f32836d3a175a1841d64dd46f0715697ef8fb0c",""
"17","mrcookies","101","737","0xe6b221eb84084cbf557465cb8972ce2eaca59382",""
"18","andreevnadasha","101","729","",""
"19","medvedev","101","708","0xf7c01b355e3e20806280d269851ba92c311fc25e",""
"20","panda","101","661","0xafcb27676fd4e2bf726587b1a40390c432f9d41d",""
"21","adjum","101","634","0xfc87adbc49931702544431f510163344fe9b57a2",""
"22","bassline81","100","904","0x21ffe04829c65e6656b9c156c7dade4c41025c1c",""
"23","slayer","100","844","0xaf14e2c4470b52431850633d06e840e5d7c2e8a6",""
"24","drfrankenvibes","100","815","0x3c0e5916b2f228eb237667f2ad895e0aaa7635a3",""
"25","spiraleye","100","796","0x9d6a9c45f49431076f2493621463fba511c96d39",""
"26","joafe82","100","787","0xd7fe95c58f8fcc7a762c7713653630e601f3b44f",""
"27","vdovinda","100","774","0x8c57d1fab10d4b78f49ef5c6abaeb76a63710f61",""
